code,country,ratio,rank,revised_rank,score,revised_score
TLS,Timor-Leste,,134,134.0,0.934,0.934
TGO,Togo,,1,1.0,0.944,0.944
TUN,Tunisia,,1,1.0,0.944,0.944
TUR,Türkiye,,1,1.0,0.944,0.944
UGA,Uganda,,1,1.0,0.944,0.944
UKR,Ukraine,,121,121.0,0.94,0.94
ARE,United Arab Emirates,,1,1.0,0.944,0.944
GBR,United Kingdom,,1,1.0,0.944,0.944
TZA,Tanzania,,1,1.0,0.944,0.944
USA,United States,,1,1.0,0.944,0.944
URY,Uruguay,,1,1.0,0.944,0.944
UZB,Uzbekistan,,142,142.0,0.925,0.925
VUT,Vanuatu,,132,132.0,0.935,0.935
VNM,Vietnam,,144,144.0,0.898,0.898
ZMB,Zambia,,1,1.0,0.944,0.944
ZWE,Zimbabwe,,1,1.0,0.944,0.944
