country,page_number,score,rank,diff,left,right
Slovenia,321,0.876,29,-8.24,58.12,66.36
South Africa,323,0.82,59,-11.63,52.9,64.53
South Korea,325,0.764,82,-17.32,56.07,73.39
Spain,327,0.846,46,-9.67,53.19,62.86
Sri Lanka,329,0.454,135,-38.47,31.98,70.46
Sudan,331,0.233,143,-47.47,14.39,61.87
Suriname,333,0.673,107,-22.0,45.34,67.34
Sweden,335,0.905,10,-6.7,63.68,70.38
Switzerland,337,0.855,41,-10.45,61.49,71.94
Tajikistan,339,0.617,120,-20.23,32.64,52.87
Thailand,341,0.788,69,-16.11,59.86,75.96
Timor-Leste,343,0.71,95,-12.13,29.75,41.88
Togo,345,0.928,6,-5.61,72.67,78.28
Tunisia,347,0.411,138,-38.22,26.68,64.89
Türkiye,349,0.492,132,-36.32,35.11,71.43
Uganda,351,0.885,20,-9.71,74.53,84.24
Ukraine,353,0.76,83,-15.1,47.77,62.87
United Arab Emirates,355,0.618,118,-34.14,55.32,89.45
United Kingdom,357,0.858,40,-9.71,58.46,68.17
United Republic of Tanzania,359,0.896,16,-8.87,76.16,85.03
United States of America,361,0.842,51,-10.79,57.33,68.12
Uruguay,363,0.78,72,-15.73,55.65,71.38
Uzbekistan,365,0.546,127,-33.23,39.92,73.14
Vanuatu,367,0.791,68,-10.03,37.91,47.94
Viet Nam,369,0.881,26,-9.29,68.54,77.84
Zambia,371,0.827,56,-11.33,54.0,65.33
Zimbabwe,373,0.834,54,-11.93,59.71,71.63
