Entity,Code,Year,Life expectancy - Sex: female - Age: 0 - Variant: estimates,Life expectancy - Sex: male - Age: 0 - Variant: estimates,Population - Sex: all - Age: all - Variant: estimates,World regions according to OWID,time,time
Guyana,GUY,2023,73.944,66.507,826310,South America,2023,2023
Haiti,HTI,2023,68.3,61.729,11637352,North America,2023,2023
Honduras,HND,2023,75.501,70.346,10644802,North America,2023,2023
Hong Kong,HKG,2023,88.129,82.844,7442686,Asia,2023,2023
Hungary,HUN,2023,80.189,73.708,9686418,Europe,2023,2023
Iceland,ISL,2023,84.506,80.981,387522,Europe,2023,2023
India,IND,2023,73.598,70.522,1438069540,Asia,2023,2023
Indonesia,IDN,2023,73.268,69.036,281190021,Asia,2023,2023
Iran,IRN,2023,79.628,75.786,90608663,Asia,2023,2023
Iraq,IRQ,2023,74.055,70.426,45074010,Asia,2023,2023
Ireland,IRL,2023,84.478,80.372,5196586,Europe,2023,2023
Isle of Man,IMN,2023,83.134,78.926,84139,Europe,2023,2023
Israel,ISR,2023,84.59,80.182,9256261,Asia,2023,2023
Italy,ITA,2023,85.746,81.568,59499408,Europe,2023,2023
Jamaica,JAM,2023,73.994,68.975,2839729,North America,2023,2023
Japan,JPN,2023,87.741,81.688,124370893,Asia,2023,2023
Jersey,JEY,2023,81.758,77.72,103634,Europe,2023,2023
Jordan,JOR,2023,80.192,75.709,11439171,Asia,2023,2023
Kazakhstan,KAZ,2023,78.394,70.112,20330063,Asia,2023,2023
Kenya,KEN,2023,65.92,61.459,55338953,Africa,2023,2023
Kiribati,KIR,2023,68.17,64.58,132494,Oceania,2023,2023
Kosovo,OWID_KOS,2023,80.118,75.804,1699985,Europe,2023,2023
Kuwait,KWT,2023,81.846,79.253,4838724,Asia,2023,2023
Kyrgyzstan,KGZ,2023,75.249,68.179,7073476,Asia,2023,2023
Laos,LAO,2023,71.25,66.779,7664955,Asia,2023,2023
Latvia,LVA,2023,80.472,71.56,1882336,Europe,2023,2023
Lebanon,LBN,2023,79.734,75.744,5773446,Asia,2023,2023
Lesotho,LSO,2023,60.007,54.62,2311429,Africa,2023,2023
Liberia,LBR,2023,63.444,60.875,5492981,Africa,2023,2023
Libya,LBY,2023,70.416,68.265,7305611,Africa,2023,2023
Liechtenstein,LIE,2023,85.321,81.837,39574,Europe,2023,2023
Lithuania,LTU,2023,80.675,71.216,2854061,Europe,2023,2023
Luxembourg,LUX,2023,83.836,80.568,665058,Europe,2023,2023
Macao,MAC,2023,85.249,80.825,713868,Asia,2023,2023
Madagascar,MDG,2023,65.377,61.938,31195885,Africa,2023,2023
Malawi,MWI,2023,70.562,64.073,21104426,Africa,2023,2023
Malaysia,MYS,2023,79.37,74.272,35126249,Asia,2023,2023
Maldives,MDV,2023,82.819,79.691,525955,Asia,2023,2023
Mali,MLI,2023,61.9,59.036,23769081,Africa,2023,2023
Malta,MLT,2023,85.259,81.272,532921,Europe,2023,2023
Marshall Islands,MHL,2023,69.334,64.933,38803,Oceania,2023,2023
Martinique,MTQ,2023,85.618,79.254,345950,North America,2023,2023
