country,page_number,score,rank,diff,left,right
Spain,327,0.676,52.0,-15.6,32.58,48.18
Sri Lanka,329,0.374,130.0,-11.31,6.75,18.07
Sudan,331,0.169,142.0,-5.07,1.04,6.11
Suriname,333,0.648,69.0,-6.43,11.85,18.28
Sweden,335,0.756,22.0,-15.4,47.6,63.0
Switzerland,337,0.579,99.0,-38.62,53.1,91.72
Tajikistan,339,0.473,120.0,-2.96,2.65,5.61
Thailand,341,0.809,11.0,-3.72,15.7,19.42
Timor-Leste,343,0.794,18.0,-0.9,3.48,4.39
Togo,345,0.825,9.0,-0.42,1.99,2.41
Tunisia,347,0.349,134.0,-10.27,5.5,15.77
Türkiye,349,0.453,121.0,-24.93,20.66,45.59
Uganda,351,0.53,110.0,-1.41,1.58,2.99
Ukraine,353,0.633,74.0,-4.91,8.48,13.39
United Arab Emirates,355,0.396,127.0,-55.5,36.43,91.93
United Kingdom,357,0.626,77.0,-21.95,36.74,58.69
United Republic of Tanzania,359,0.889,3.0,-0.31,2.47,2.78
United States of America,361,0.658,63.0,-26.69,51.41,78.1
Uruguay,363,0.644,70.0,-10.63,19.27,29.91
Uzbekistan,365,0.372,131.0,-7.39,4.38,11.76
Vanuatu,367,0.598,92.0,-1.4,2.08,3.48
Viet Nam,369,0.799,17.0,-2.54,10.14,12.68
Zambia,371,0.727,33.0,-1.06,2.84,3.91
Zimbabwe,373,0.895,2.0,-0.25,2.09,2.34
