country,score,revised_score
Poland,0.9753021659881411,0.9534687658860928
Slovakia,0.9753021659881411,0.9571635537089862
Hungary,0.9753021659881411,0.9577467443514877
Lithuania,0.9753021659881411,0.9486895649240502
Estonia,0.9745720122466597,0.9533958835820906
Czechia,0.9736830884370304,0.9604211943501927
South Korea,0.9717941646274011,0.9594132314731207
Mexico,0.9715243183688828,0.9598949144280391
Colombia,0.9712544721103642,0.961046238109559
Latvia,0.970921243539252,0.9454606641525543
Portugal,0.9696353945592535,0.9631103821532
Costa Rica,0.9696353945592535,0.9634840632325622
Japan,0.9696353945592535,0.9617283026360028
Slovenia,0.9689529346955488,0.9575125567033274
Germany,0.9685560095251797,0.9683456315121655
Chile,0.9672067782325874,0.9664597170410507
Finland,0.9672067782325874,0.9636434952981096
United States,0.9666670857155505,0.9647814858227132
France,0.9666670857155505,0.9651570528923098
Austria,0.9666670857155505,0.9666872719242545
Australia,0.9653178544229581,0.9673676834181988
Belgium,0.9650480081644397,0.9681071798891792
Canada,0.9647781619059212,0.9670484560485353
Italy,0.9645083156474028,0.9677288025021067
Greece,0.9640163170081427,0.9637186546339286
Türkiye,0.9636987768718475,0.9671550595595326
New Zealand,0.9636987768718475,0.9696386734234461
Spain,0.9635877006814766,0.9647024422848669
United Kingdom,0.9628892380962921,0.9689305815283107
Luxembourg,0.9623495455792552,0.968254499116198
Israel,0.9620796993207367,0.9692675053634945
Ireland,0.9618098530622182,0.9697639179814144
Denmark,0.9618098530622182,0.9682735021824229
Switzerland,0.9615400068036997,0.9701715073987084
Sweden,0.9607304680281443,0.9708433338492337
Norway,0.9598098530622182,0.9689653128617103
Iceland,0.9598098530622182,0.9692272735843839
Netherlands,0.9596510829940705,0.9712237743437042
