country,page_number,score,rank,diff,left,right
Uganda,351,0.54,72.0,-29.91,35.05,64.95
Ukraine,353,0.695,35.0,-18.0,41.0,59.0
United Arab Emirates,355,0.306,114.0,-53.13,23.43,76.57
United Kingdom,357,0.583,57.0,-26.35,36.83,63.17
United Republic of Tanzania,359,0.387,101.0,-44.18,27.91,72.09
United States of America,361,0.741,29.0,-14.86,42.57,57.43
Uruguay,363,0.563,64.0,-28.0,36.0,64.0
Uzbekistan,365,,,,,
Vanuatu,367,0.573,59.0,-27.14,36.43,63.57
Viet Nam,369,0.351,105.0,-48.02,25.99,74.01
Zambia,371,0.883,14.0,-6.21,46.9,53.1
Zimbabwe,373,0.581,58.0,-26.52,36.74,63.26
