code,country,ratio,rank,revised_rank,score,revised_score
MLT,Malta,0.675346670900815,1.0,92.0,1.0,0.675346670900815
MUS,Mauritius,0.735764430577223,1.0,71.0,1.0,0.735764430577223
MEX,Mexico,0.8483883804218066,1.0,35.0,1.0,0.8483883804218066
MDA,Moldova,0.6987920168067228,1.0,82.0,1.0,0.6987920168067228
MNG,Mongolia,0.6074445940982001,1.0,112.0,1.0,0.6074445940982001
MNE,Montenegro,0.7218482252141983,1.0,75.0,1.0,0.7218482252141983
MAR,Morocco,0.881742316303684,1.0,26.0,1.0,0.881742316303684
MOZ,Mozambique,0.8527918781725888,116.0,34.0,0.853,0.8527918781725888
NAM,Namibia,0.5304630381803412,1.0,125.0,1.0,0.5304630381803412
NPL,Nepal,0.8887390424814565,1.0,22.0,1.0,0.8887390424814565
NLD,Netherlands,0.8580369250026078,1.0,31.0,1.0,0.8580369250026078
NZL,New Zealand,0.611726778158372,1.0,111.0,1.0,0.611726778158372
NIC,Nicaragua,0.7750556792873051,1.0,60.0,1.0,0.7750556792873051
NER,Niger,0.481675392670157,133.0,129.0,0.481,0.481675392670157
NGA,Nigeria,0.726007326007326,126.0,73.0,0.726,0.726007326007326
MKD,North Macedonia,0.6728468899521531,1.0,95.0,1.0,0.6728468899521531
NOR,Norway,0.6630625879043601,1.0,99.0,1.0,0.6630625879043601
OMN,Oman,0.6781869688385268,1.0,90.0,1.0,0.6781869688385268
PAK,Pakistan,0.9260588657573583,111.0,16.0,0.926,0.9260588657573583
PAN,Panama,0.6286500535086378,1.0,107.0,1.0,0.6286500535086378
PRY,Paraguay,,,,,
PER,Peru,0.9286487950176009,1.0,14.0,1.0,0.9286487950176009
PHL,Philippines,0.7370508054522924,1.0,69.0,1.0,0.7370508054522924
POL,Poland,0.6453469071594555,1.0,104.0,1.0,0.6453469071594555
PRT,Portugal,0.8377584886392646,1.0,39.0,1.0,0.8377584886392646
QAT,Qatar,0.21295577967416598,1.0,135.0,1.0,0.21295577967416598
ROU,Romania,0.768201370081249,1.0,62.0,1.0,0.768201370081249
RWA,Rwanda,0.7707808564231737,123.0,61.0,0.771,0.7707808564231737
SAU,Saudi Arabia,0.8864244741873806,1.0,23.0,1.0,0.8864244741873806
SEN,Senegal,0.9724178403755869,106.0,7.0,0.973,0.9724178403755869
SRB,Serbia,0.6849488184001011,1.0,87.0,1.0,0.6849488184001011
