code,wef_rank,wef_score,score,revised_score,rank,revised_rank,diff_score,diff_rank,country
GIN,75,0.217,0.21814809403530833,0.21277412677579632,79.0,80.0,-0.0053739672595120025,1.0,Guinea
GUY,36,0.359,0.360601579998274,0.35307315700465886,36.0,35.0,-0.007528422993615169,-1.0,Guyana
HND,52,0.288,0.2932325573500109,0.28857246931243974,50.0,51.0,-0.004660088037571175,1.0,Honduras
HUN,131,0.069,0.06715881887284078,0.06586454742463253,136.0,136.0,-0.001294271448208248,0.0,Hungary
ISL,1,0.972,0.9723452800187415,0.9202923100334893,1.0,1.0,-0.05205296998525222,0.0,Iceland
IND,65,0.251,0.2479030277426291,0.2511970545016199,66.0,64.0,0.0032940267589907923,-2.0,India
IDN,107,0.138,0.22559831002465333,0.22150811569363724,73.0,75.0,-0.004090194331016095,2.0,Indonesia
IRN,143,0.031,0.031605599602091014,0.03086426893722838,144.0,144.0,-0.0007413306648626355,0.0,Iran
IRL,10,0.507,0.5065021511332701,0.5115787350550887,12.0,7.0,0.005076583921818534,-5.0,Ireland
ISR,106,0.139,0.1380684479976278,0.13430485344241733,108.0,108.0,-0.00376359455521047,0.0,Israel
ITA,67,0.243,0.24278790200285796,0.23738549386929703,68.0,68.0,-0.0054024081335609375,0.0,Italy
JAM,60,0.263,0.26417341755080603,0.26079018945819543,61.0,61.0,-0.0033832280926106018,0.0,Jamaica
JPN,113,0.118,0.12171705993101846,0.12003865346190876,112.0,112.0,-0.0016784064691097028,0.0,Japan
JOR,115,0.117,0.12023821078270615,0.1180107611975793,114.0,114.0,-0.002227449585126842,0.0,Jordan
KAZ,116,0.116,0.11614852638059908,0.11303160234002624,116.0,117.0,-0.0031169240405728438,1.0,Kazakhstan
KEN,80,0.21,0.21359830393737914,0.20942040268816517,81.0,81.0,-0.004177901249213967,0.0,Kenya
KWT,145,0.029,0.029770524978377764,0.029280982405624295,145.0,145.0,-0.0004895425727534687,0.0,Kuwait
KGZ,109,0.133,0.13256472224340776,0.12991195966546404,110.0,110.0,-0.0026527625779437236,0.0,Kyrgyzstan
LAO,105,0.14,0.14077317377409507,0.13739130875243055,107.0,107.0,-0.003381865021664515,0.0,Laos
LVA,35,0.364,0.36356615558492866,0.3611358175152881,35.0,34.0,-0.0024303380696405474,-1.0,Latvia
LBN,142,0.033,0.032701819423576445,0.03185980746214631,143.0,143.0,-0.0008420119614301336,0.0,Lebanon
LSO,108,0.136,0.13490518498512738,0.13110420991395133,109.0,109.0,-0.0038009750711760493,0.0,Lesotho
LBR,53,0.287,0.2904083461114565,0.2923114224440847,52.0,50.0,0.0019030763326282063,-2.0,Liberia
LTU,24,0.44,0.4419708435012992,0.4414064669617762,24.0,22.0,-0.0005643765395230149,-2.0,Lithuania
LUX,55,0.278,0.2808506401955301,0.2745956215636779,54.0,56.0,-0.006255018631852183,2.0,Luxembourg
MDG,98,0.161,0.1645434446246576,0.16168811299624675,98.0,97.0,-0.00285533162841084,-1.0,Madagascar
MYS,134,0.068,0.06782940105924833,0.06597699061412152,135.0,135.0,-0.0018524104451268092,0.0,Malaysia
MDV,138,0.055,0.057281338100504266,0.056364125932568516,139.0,139.0,-0.0009172121679357492,0.0,Maldives
MLI,86,0.187,0.18608302654382333,0.18137714822086926,87.0,87.0,-0.004705878322954077,0.0,Mali
MLT,64,0.251,0.24840098105460678,0.2465406613307773,65.0,66.0,-0.0018603197238294955,1.0,Malta
MUS,100,0.159,0.1592570546573955,0.15699656931917796,101.0,100.0,-0.002260485338217544,-1.0,Mauritius
MEX,14,0.49,0.490856271254478,0.47406359821334965,15.0,13.0,-0.01679267304112836,-2.0,Mexico
MDA,38,0.35,0.3463991209352656,0.3402601222872291,38.0,37.0,-0.0061389986480364644,-1.0,Moldova
MNG,120,0.104,0.10385564623127812,0.10129953602401842,121.0,121.0,-0.002556110207259696,0.0,Mongolia
MNE,87,0.182,0.18229840119555052,0.17749419557921836,88.0,88.0,-0.004804205616332158,0.0,Montenegro
MAR,85,0.188,0.18992056960766626,0.18587889453320802,86.0,86.0,-0.00404167507445824,0.0,Morocco
MOZ,8,0.542,0.5491117859869926,0.5409097281140428,7.0,6.0,-0.008202057872949808,-1.0,Mozambique
NAM,21,0.456,0.4543980808628768,0.4474707145062935,21.0,19.0,-0.006927366356583309,-2.0,Namibia
NPL,51,0.288,0.28601739656255953,0.28235034173382434,53.0,53.0,-0.0036670548287351945,0.0,Nepal
NLD,23,0.443,0.4513829952484314,0.44305774905382034,22.0,20.0,-0.008325246194611058,-2.0,Netherlands
NZL,4,0.631,0.6304163315747671,0.6260386258501365,4.0,3.0,-0.004377705724630587,-1.0,New Zealand
NIC,5,0.626,0.6301455871127103,0.4735393508097284,5.0,14.0,-0.15660623630298187,9.0,Nicaragua
NER,121,0.096,0.15710855843001295,0.15328908512743747,102.0,102.0,-0.0038194733025754823,0.0,Niger
NGA,136,0.066,0.06832983121449414,0.0675689327587372,134.0,134.0,-0.000760898455756942,0.0,Nigeria
MKD,45,0.313,0.3106012967418603,0.3018249217925294,46.0,46.0,-0.008776374949330923,0.0,North Macedonia
NOR,2,0.746,0.7504951157575342,0.7209004187979564,2.0,2.0,-0.029594696959577838,0.0,Norway
OMN,141,0.044,0.04632226069650701,0.045971756023233536,140.0,140.0,-0.0003505046732734732,0.0,Oman
PAK,112,0.122,0.12002292044445712,0.11922688871658865,115.0,113.0,-0.0007960317278684625,-2.0,Pakistan
PAN,56,0.274,0.2786493101351279,0.2761663404999533,56.0,55.0,-0.002482969635174581,-1.0,Panama
PRY,94,0.173,0.17439153987602796,0.1704726997364766,94.0,93.0,-0.0039188401395513495,-1.0,Paraguay
PER,33,0.38,0.38189148345183477,0.37533855267509714,33.0,31.0,-0.006552930776737631,-2.0,Peru
PHL,34,0.373,0.3704602191378988,0.3712792151987922,34.0,33.0,0.0008189960608934177,-1.0,Philippines
POL,57,0.272,0.27471419881544706,0.2700529026968397,58.0,58.0,-0.004661296118607383,0.0,Poland
PRT,26,0.429,0.4384889652041495,0.40159572158814544,26.0,29.0,-0.036893243616004046,3.0,Portugal
QAT,137,0.061,0.06302840525019598,0.06215541547477708,138.0,138.0,-0.0008729897754189073,0.0,Qatar
ROU,79,0.213,0.21859021059946232,0.21537457308446475,78.0,78.0,-0.0032156375149975658,0.0,Romania
RWA,29,0.422,0.41943284331497566,0.30077641159636814,30.0,47.0,-0.11865643171860751,17.0,Rwanda
SAU,128,0.077,0.07454750603643581,0.0718380605932721,130.0,130.0,-0.002709445443163719,0.0,Saudi Arabia
SEN,39,0.341,0.33621195318448927,0.3270483017573559,41.0,40.0,-0.009163651427133379,-1.0,Senegal
SRB,25,0.438,0.44154846238903683,0.4357827499614832,25.0,23.0,-0.0057657124275536376,-2.0,Serbia
SLE,62,0.253,0.2565024628207265,0.25122863630469816,62.0,63.0,-0.005273826516028313,1.0,Sierra Leone
SGP,69,0.23,0.2276782878226628,0.2246770475350067,70.0,70.0,-0.0030012402876561095,0.0,Singapore
SVK,71,0.224,0.22460029917498842,0.22278357166818985,75.0,73.0,-0.0018167275067985655,-2.0,Slovakia
SVN,43,0.328,0.328619338563255,0.32157112138078403,43.0,42.0,-0.0070482171824709505,-1.0,Slovenia
ZAF,9,0.513,0.5199186056367675,0.508816348081525,9.0,8.0,-0.011102257555242523,-1.0,South Africa
KOR,72,0.223,0.2261942070456954,0.2242988405888917,72.0,71.0,-0.0018953664568036876,-1.0,South Korea
ESP,13,0.494,0.5006805395628486,0.4904826460378223,13.0,10.0,-0.010197893525026314,-3.0,Spain
LKA,123,0.09,0.09023067934087772,0.0909547050974612,123.0,122.0,0.0007240257565834796,-1.0,Sri Lanka
SDN,144,0.03,0.07733177281164551,0.07518011404677816,128.0,128.0,-0.0021516587648673507,0.0,Sudan
SUR,66,0.245,0.2468045160502022,0.24088995984260364,67.0,67.0,-0.005914556207598565,0.0,Suriname
SWE,11,0.506,0.511185534411723,0.5002547294969228,10.0,9.0,-0.01093080491480014,-1.0,Sweden
CHE,19,0.464,0.4676156301570694,0.4619430250687413,19.0,17.0,-0.00567260508832812,-2.0,Switzerland
TJK,101,0.156,0.1549252533108419,0.1503815269236503,103.0,103.0,-0.004543726387191582,0.0,Tajikistan
THA,102,0.147,0.14703084456172721,0.14475647898444932,105.0,104.0,-0.0022743655772778926,-1.0,Thailand
TLS,68,0.238,0.23449459448202642,0.2269888767165882,69.0,69.0,-0.007505717765438208,0.0,Timor-Leste
TGO,73,0.222,0.22647764542274715,0.22383314495513584,71.0,72.0,-0.002644500467611305,1.0,Togo
TUN,76,0.216,0.22197822526056032,0.21960453688478213,77.0,76.0,-0.002373688375778199,-1.0,Tunisia
TUR,114,0.118,0.11598384956465708,0.11381909729700697,117.0,116.0,-0.0021647522676501163,-1.0,Türkiye
UGA,58,0.267,0.2663025425407171,0.260838801790614,60.0,60.0,-0.0054637407501030855,0.0,Uganda
UKR,91,0.175,0.17639661128086515,0.17380417602363302,90.0,90.0,-0.0025924352572321285,0.0,Ukraine
ARE,40,0.341,0.333308243348844,0.3217168826245115,42.0,41.0,-0.011591360724332533,-1.0,United Arab Emirates
GBR,18,0.474,0.47432902513815073,0.47282659509138447,18.0,15.0,-0.0015024300467662566,-3.0,United Kingdom
TZA,49,0.3,0.29941284319401823,0.292949039042067,49.0,49.0,-0.006463804151951247,0.0,Tanzania
USA,63,0.251,0.2546988941262966,0.24949070374808135,64.0,65.0,-0.005208190378215238,1.0,United States
URY,95,0.172,0.17334782993668146,0.16898739255513123,95.0,95.0,-0.004360437381550231,0.0,Uruguay
UZB,89,0.176,0.17210002426978044,0.16599906171125733,96.0,96.0,-0.006100962558523104,0.0,Uzbekistan
VUT,146,0.006,0.006011895648099662,0.005901167729998039,146.0,146.0,-0.00011072791810162307,0.0,Vanuatu
VNM,96,0.168,0.1661511550445467,0.16086756488231818,97.0,98.0,-0.005283590162228513,1.0,Vietnam
ZMB,124,0.09,0.09062947580545885,0.08824297555523375,122.0,123.0,-0.0023865002502251043,1.0,Zambia
ZWE,83,0.199,0.2002321891864287,0.19527384076981813,83.0,83.0,-0.004958348416610581,0.0,Zimbabwe
